"id","dominio","prefixo","metodo","rota","operacao","handler","protecao","linha_app_go"
"233","Webhooks","webhooks","POST","/v1/webhooks","Create","webhooksHandler.Create","Organização + permissão SettingsIntegrations","533"
"234","Webhooks","webhooks","PATCH","/v1/webhooks/{id}","Update","webhooksHandler.Update","Organização + permissão SettingsIntegrations","534"
"235","Webhooks","webhooks","DELETE","/v1/webhooks/{id}","Delete","webhooksHandler.Delete","Organização + permissão SettingsIntegrations","535"
"236","Webhooks","webhooks","POST","/v1/webhooks/{id}/regenerate-token","RegenerateToken","webhooksHandler.RegenerateToken","Organização + permissão SettingsIntegrations","536"
"237","Integrações","integrations","POST","/v1/integrations/functions/{name}","InvokeFunction","integrationsHandler.InvokeFunction","Organização + permissão SettingsIntegrations","537"
"238","Integrações","integrations","GET","/v1/integrations/vista","GetVista","integrationsHandler.GetVista","Organização + permissão SettingsIntegrations","538"
"239","Integrações","integrations","PUT","/v1/integrations/vista","SaveVista","integrationsHandler.SaveVista","Organização + permissão SettingsIntegrations","539"
"240","Integrações","integrations","DELETE","/v1/integrations/vista","DeleteVista","integrationsHandler.DeleteVista","Organização + permissão SettingsIntegrations","540"
"241","Integrações","integrations","GET","/v1/integrations/imoview","GetImoview","integrationsHandler.GetImoview","Organização + permissão SettingsIntegrations","541"
"242","Integrações","integrations","PUT","/v1/integrations/imoview","SaveImoview","integrationsHandler.SaveImoview","Organização + permissão SettingsIntegrations","542"
"243","Integrações","integrations","DELETE","/v1/integrations/imoview","DeleteImoview","integrationsHandler.DeleteImoview","Organização + permissão SettingsIntegrations","543"
"244","Integrações","integrations","GET","/v1/integrations/meta","ListMetaIntegrations","integrationsHandler.ListMetaIntegrations","Organização + permissão SettingsIntegrations","544"
"245","Integrações","integrations","GET","/v1/integrations/meta/oauth-flows/{id}","ShowMetaOAuthFlow","integrationsHandler.ShowMetaOAuthFlow","Organização + permissão SettingsIntegrations","545"
"246","Integrações","integrations","GET","/v1/integrations/meta/form-configs","ListMetaFormConfigs","integrationsHandler.ListMetaFormConfigs","Organização + permissão SettingsIntegrations","546"
"247","Integrações","integrations","POST","/v1/integrations/meta/form-configs","SaveMetaFormConfig","integrationsHandler.SaveMetaFormConfig","Organização + permissão SettingsIntegrations","547"
"248","Integrações","integrations","PATCH","/v1/integrations/meta/form-configs","ToggleMetaFormConfig","integrationsHandler.ToggleMetaFormConfig","Organização + permissão SettingsIntegrations","548"
"249","Integrações","integrations","DELETE","/v1/integrations/meta/form-configs","DeleteMetaFormConfig","integrationsHandler.DeleteMetaFormConfig","Organização + permissão SettingsIntegrations","549"
"250","Integrações","integrations","GET","/v1/integrations/meta/webhook-health","MetaWebhookHealth","integrationsHandler.MetaWebhookHealth","Organização + permissão SettingsIntegrations","550"
"251","Integrações","integrations","GET","/v1/integrations/meta/conversations","ListMetaConversations","integrationsHandler.ListMetaConversations","Organização + permissão SettingsIntegrations","551"
"252","Integrações","integrations","GET","/v1/integrations/meta/conversations/{id}/messages","ListMetaMessages","integrationsHandler.ListMetaMessages","Organização + permissão SettingsIntegrations","552"
"253","Integrações","integrations","GET","/v1/integrations/portals/grupo-olx","GetGrupoOLX","portalsHandler.GetGrupoOLX","Módulo portals + permissão SettingsIntegrations","553"
"254","Integrações","integrations","PUT","/v1/integrations/portals/grupo-olx","SaveGrupoOLX","portalsHandler.SaveGrupoOLX","Módulo portals + permissão SettingsIntegrations","554"
"255","Integrações","integrations","POST","/v1/integrations/portals/grupo-olx/activate","ActivateGrupoOLX","portalsHandler.ActivateGrupoOLX","Módulo portals + permissão SettingsIntegrations","555"
"256","Integrações","integrations","POST","/v1/integrations/portals/grupo-olx/regenerate-feed-token","RegenerateGrupoOLXFeedToken","portalsHandler.RegenerateGrupoOLXFeedToken","Módulo portals + permissão SettingsIntegrations","556"
"257","Integrações","integrations","POST","/v1/integrations/portals/grupo-olx/regenerate-webhook-token","RegenerateGrupoOLXWebhookToken","portalsHandler.RegenerateGrupoOLXWebhookToken","Módulo portals + permissão SettingsIntegrations","557"
"258","Integrações","integrations","GET","/v1/integrations/portals/grupo-olx/publications","ListGrupoOLXPublications","portalsHandler.ListGrupoOLXPublications","Módulo portals + permissão SettingsIntegrations","558"
"259","Integrações","integrations","PUT","/v1/integrations/portals/grupo-olx/publications","UpsertGrupoOLXPublications","portalsHandler.UpsertGrupoOLXPublications","Módulo portals + permissão SettingsIntegrations","559"
"260","APIs públicas","public","GET","/v1/public/push-config","PublicPushConfig","settingsHandler.PublicPushConfig","Sem middleware na rota; o handler pode validar segredo, assinatura ou token","560"
"261","Configurações","settings","PATCH","/v1/settings/profile","UpdateProfile","settingsHandler.UpdateProfile","Usuário autenticado","561"
"262","Configurações","settings","POST","/v1/settings/profile/avatar","UploadProfileAvatar","settingsHandler.UploadProfileAvatar","Usuário autenticado","562"
"263","Configurações","settings","PATCH","/v1/settings/organization","UpdateOrganization","settingsHandler.UpdateOrganization","Organização + permissão SettingsOrganization","563"
"264","Configurações","settings","POST","/v1/settings/organization/logo","UploadOrganizationLogo","settingsHandler.UploadOrganizationLogo","Organização + permissão SettingsOrganization","564"
"265","Configurações","settings","POST","/v1/settings/password","ChangePassword","settingsHandler.ChangePassword","Usuário autenticado","565"
"266","Configurações","settings","GET","/v1/settings/password/status","PasswordStatus","settingsHandler.PasswordStatus","Usuário autenticado","566"
"267","Configurações","settings","GET","/v1/settings/modules","ListOrganizationModules","settingsHandler.ListOrganizationModules","Organização ativa","567"
"268","Configurações","settings","GET","/v1/settings/setup-guide-progress","ShowSetupGuideProgress","settingsHandler.ShowSetupGuideProgress","Usuário autenticado","568"
"269","Configurações","settings","PUT","/v1/settings/setup-guide-progress","UpdateSetupGuideProgress","settingsHandler.UpdateSetupGuideProgress","Usuário autenticado","569"
"270","Configurações","settings","POST","/v1/settings/push-tokens","SavePushToken","settingsHandler.SavePushToken","Organização ativa","570"
"271","Configurações","settings","GET","/v1/settings/push-tokens","ListPushDevices","settingsHandler.ListPushDevices","Organização ativa","571"
"272","Configurações","settings","POST","/v1/settings/push-tokens/deactivate","DeactivatePushToken","settingsHandler.DeactivatePushToken","Usuário autenticado","572"
"273","Configurações","settings","GET","/v1/settings/api-keys","ListAPIKeys","settingsHandler.ListAPIKeys","Organização + permissão SettingsIntegrations","573"
"274","Configurações","settings","POST","/v1/settings/api-keys","CreateAPIKey","settingsHandler.CreateAPIKey","Organização + permissão SettingsIntegrations","574"
"275","Configurações","settings","DELETE","/v1/settings/api-keys/{id}","DeleteAPIKey","settingsHandler.DeleteAPIKey","Organização + permissão SettingsIntegrations","575"
"276","Configurações","settings","GET","/v1/settings/subscription","ShowSubscription","settingsHandler.ShowSubscription","Organização + permissão SettingsBilling","576"
"277","Configurações","settings","PATCH","/v1/settings/subscription/billing","UpdateSubscriptionBilling","settingsHandler.UpdateSubscriptionBilling","Organização + permissão SettingsBilling","577"
"278","Configurações","settings","PATCH","/v1/settings/subscription/plan","SelectSubscriptionPlan","settingsHandler.SelectSubscriptionPlan","Organização + permissão SettingsBilling","578"
"279","Configurações","settings","POST","/v1/settings/subscription/charge","CreateSubscriptionCharge","integrationsHandler.CreateSubscriptionCharge","Organização + permissão SettingsBilling","579"
"280","Configurações","settings","GET","/v1/settings/roles","ListOrganizationRoles","settingsHandler.ListOrganizationRoles","Organização + permissão PermissionsManage","580"
"281","Configurações","settings","POST","/v1/settings/roles","CreateRole","settingsHandler.CreateRole","Organização + permissão PermissionsManage","581"
"282","Configurações","settings","PATCH","/v1/settings/roles/{id}","UpdateRole","settingsHandler.UpdateRole","Organização + permissão PermissionsManage","582"
"283","Configurações","settings","DELETE","/v1/settings/roles/{id}","DeleteRole","settingsHandler.DeleteRole","Organização + permissão PermissionsManage","583"
"284","Configurações","settings","GET","/v1/settings/roles/{id}/permissions","ListRolePermissions","settingsHandler.ListRolePermissions","Organização + permissão PermissionsManage","584"
"285","Configurações","settings","PUT","/v1/settings/roles/{id}/permissions","ReplaceRolePermissions","settingsHandler.ReplaceRolePermissions","Organização + permissão PermissionsManage","585"
"286","Configurações","settings","GET","/v1/settings/permissions","ListAvailablePermissions","settingsHandler.ListAvailablePermissions","Usuário autenticado","586"
"287","Configurações","settings","GET","/v1/settings/users/{id}/permissions","ShowUserPermissions","settingsHandler.ShowUserPermissions","Organização + permissão PermissionsManage","587"
"288","Configurações","settings","PUT","/v1/settings/users/{id}/permissions","ReplaceUserPermissions","settingsHandler.ReplaceUserPermissions","Organização + permissão PermissionsManage","588"
"289","Configurações","settings","DELETE","/v1/settings/users/{id}/permissions","ResetUserPermissions","settingsHandler.ResetUserPermissions","Organização + permissão PermissionsManage","589"
"290","Configurações","settings","GET","/v1/settings/user-roles","ListUserOrganizationRoles","settingsHandler.ListUserOrganizationRoles","Organização + permissão PermissionsManage","590"
"291","Configurações","settings","PUT","/v1/settings/user-roles","AssignUserRole","settingsHandler.AssignUserRole","Organização + permissão PermissionsManage","591"
"292","Configurações","settings","GET","/v1/settings/has-permission","HasPermission","settingsHandler.HasPermission","Usuário autenticado","592"
"293","Site","site","GET","/v1/site","ShowSite","siteHandler.ShowSite","Módulo site + permissão SettingsSite","593"
"294","Site","site","POST","/v1/site","CreateSite","siteHandler.CreateSite","Módulo site + permissão SettingsSite","594"
"295","Site","site","PATCH","/v1/site","UpdateSite","siteHandler.UpdateSite","Módulo site + permissão SettingsSite","595"
"296","Site","site","POST","/v1/site/domain/verify","VerifyDomain","siteHandler.VerifyDomain","Módulo site + permissão SettingsSite","596"
"297","Site","site","POST","/v1/site/assets","UploadAsset","siteHandler.UploadAsset","Módulo site + permissão SettingsSite","597"
"298","Site","site","GET","/v1/site/menu-items","ListMenuItems","siteHandler.ListMenuItems","Módulo site + permissão SettingsSite","598"
